Date,ftse_250_price,ftse_250_total_return,base_rate,CPI,ftse_350_Price,"ftse_350_Total Return (Gross, Unhedged)",price_02_Price,"price_02_Total Return (Gross, Unhedged)",confidence_score,price_05_Price,"price_05_Total Return (Gross, Unhedged)",price_10_Price,"price_10_Total Return (Gross, Unhedged)",unemployment_rate,wage_growth_rate,gdp_GDP,polarity_score_finbert
01-12-89,2661.76001,803.789978,14.71333333,,,,,,,,,,,,,0.5,
01-01-90,2591.129883,783.25,14.63,5.7,1165.829956,725.3200073,,,-19,,,,,6.9,,0.5,
01-02-90,2463.879883,746.0100098,14.54666667,5.9,1121.469971,700.5800171,,,-24,,,,,6.9,,0.5,
01-03-90,2437.370117,741.7000122,14.46333333,6,1115.699951,701.4000244,,,-35,,,,,6.9,,0.7,
01-04-90,2285.780029,701.5100098,14.38,6.4,1044.619995,660.0100098,,,-31,,,,,6.9,,0.7,
01-05-90,2487.810059,766.1300049,14.29666667,6.8,1158.219971,735.1400146,,,-30,,,,,6.9,,0.7,
01-06-90,2540.209961,785.6400146,14.21333333,6.9,1174.910034,748.5200195,,,-27,,,,,6.9,,-1.1,
01-07-90,2481.800049,771.039978,14.13,6.8,1150.130005,736.7000122,,,-24,,,,,7,,-1.1,
01-08-90,2187.780029,681.4400024,14.04666667,7.7,1057.099976,679.7700195,,,-26,,,,,7.1,,-1.1,
01-09-90,1974.040039,618.2299805,13.96333333,8.1,968.7199707,626.7000122,,,-29,,,,,7.2,,-0.5,
01-10-90,2065.389893,649.8599854,13.88,8.1,1001.340027,649.2800293,,,-27,,,,,7.3,,-0.5,
01-11-90,2106.879883,665.4199829,13.6925,7.8,1043.52002,679.0700073,,,-29,,,,,7.5,,-0.5,
01-12-90,2127.449951,674.5700073,13.505,7.6,1043.660034,682.710022,,,-19,,,,,7.6,,-0.5,
01-01-91,2096.149902,666.2000122,13.3175,7.1,1050.369995,688.6500244,,,-24,,,,,7.8,,-0.5,
01-02-91,2401.530029,764.3499756,13.13,7,1163,764.9299927,,,-27,,,,,8,,-0.5,
