Date,Rate
1975-01-01,11.125
1975-02-01,10.625
1975-03-01,10.125
1975-04-01,9.75
1975-05-01,10.0
1975-06-01,10.5
1975-07-01,11.0
1975-08-01,11.333333333333334
1975-09-01,11.666666666666666
1975-10-01,12.0
1975-11-01,11.75
1975-12-01,11.375
1976-01-01,10.75
1976-02-01,9.75
1976-03-01,9.125
1976-04-01,10.5
1976-05-01,11.5
1976-06-01,11.875
1976-07-01,12.25
1976-08-01,12.625
1976-09-01,13.0
1976-10-01,15.0
1976-11-01,14.75
1976-12-01,14.375
1977-01-01,13.166666666666666
1977-02-01,12.0
1977-03-01,10.333333333333334
1977-04-01,9.0
1977-05-01,8.125
1977-06-01,7.833333333333333
1977-07-01,7.541666666666667
1977-08-01,7.25
1977-09-01,6.25
1977-10-01,5.25
1977-11-01,7.0
1977-12-01,6.75
1978-01-01,6.5
1978-02-01,6.833333333333333
1978-03-01,7.166666666666667
1978-04-01,7.5
1978-05-01,8.875
1978-06-01,10.0
1978-07-01,10.5
1978-08-01,11.0
1978-09-01,11.5
1978-10-01,12.0
1978-11-01,12.5
1978-12-01,13.0
1979-01-01,13.5
1979-02-01,14.0
1979-03-01,13.0
1979-04-01,12.0
1979-05-01,13.0
1979-06-01,14.0
1979-07-01,14.6
1979-08-01,15.2
1979-09-01,15.8
1979-10-01,16.4
1979-11-01,17.0
1979-12-01,16.875
1980-01-01,16.75
1980-02-01,16.625
1980-03-01,16.5
1980-04-01,16.375
1980-05-01,16.25
1980-06-01,16.125
1980-07-01,16.0
1980-08-01,15.5
1980-09-01,15.0
1980-10-01,14.5
1980-11-01,14.0
1980-12-01,13.5
1981-01-01,13.0
1981-02-01,12.5
1981-03-01,12.0
1981-04-01,12.138
1981-05-01,12.276
1981-06-01,12.414
1981-07-01,12.552
1981-08-01,12.69
1981-09-01,14.0
1981-10-01,15.065000000000001
1981-11-01,14.75
1981-12-01,14.38
1982-01-01,14.114
1982-02-01,13.72
1982-03-01,13.25
1982-04-01,13.086666666666668
1982-05-01,12.858333333333334
1982-06-01,12.63
