Date,Price,"Total Return (Gross, Unhedged)"
1998-06-01,120.226746,100.0
1998-07-01,119.99215,101.012
1998-08-01,124.22,104.757
1998-09-01,128.875,109.078
1998-10-01,127.11105,107.962
1998-11-01,129.651,111.945
1998-12-01,132.899,114.603
1999-01-01,134.57706,116.434
1999-02-01,130.40361,113.167
1999-03-01,131.03172,113.983
1999-04-01,129.99657,113.481
1999-05-01,125.58968,111.61
1999-06-01,125.17202,111.336
1999-07-01,123.13864,110.047
1999-08-01,125.19702,112.054
1999-09-01,121.10741,108.956
1999-10-01,123.88389,111.769
1999-11-01,124.88561,113.832
1999-12-01,123.06983,112.177
2000-01-01,119.44034,110.72
2000-02-01,121.45157,113.215
2000-03-01,122.46528,114.754
2000-04-01,123.22556,116.004
2000-05-01,123.06638,116.644
2000-06-01,122.14105,116.822
2000-07-01,121.48111,116.808
2000-08-01,120.284996,116.281
2000-09-01,120.733795,117.283
2000-10-01,120.83247,118.475
2000-11-01,123.299034,121.774
2000-12-01,123.20935,122.269
2001-01-01,123.23507,122.892
2001-02-01,122.81881,123.022
2001-03-01,121.81377,122.625
2001-04-01,117.975395,119.871
2001-05-01,116.370766,119.236
2001-06-01,115.6531,119.089
2001-07-01,116.52173,122.403
2001-08-01,117.9906,124.543
2001-09-01,117.04114,124.11
2001-10-01,121.322655,129.057
2001-11-01,119.97333,128.24
2001-12-01,116.335464,124.722
2002-01-01,118.04309,127.151
2002-02-01,116.61411,126.188
2002-03-01,113.09971,122.99
2002-04-01,113.66143,124.566
2002-05-01,112.75308,124.21
2002-06-01,115.62944,127.928
2002-07-01,115.71932,129.729
2002-08-01,118.716805,133.647
2002-09-01,119.822945,136.553
2002-10-01,117.47284,134.854
2002-11-01,115.88165,133.632
2002-12-01,118.819145,137.421
2003-01-01,119.58751,139.305
2003-02-01,119.72994,140.025
2003-03-01,119.031425,138.862
2003-04-01,117.877914,138.455
2003-05-01,120.86289,142.509
2003-06-01,117.89443,141.074
2003-07-01,113.71046,137.66
2003-08-01,113.7721,138.312
2003-09-01,113.23004,139.701
2003-10-01,109.156456,135.768
2003-11-01,108.87734,135.983
2003-12-01,110.76855,139.636
2004-01-01,109.9999,139.281
2004-02-01,110.795586,140.838
2004-03-01,112.33933,141.976
2004-04-01,109.71174,139.531
2004-05-01,108.35758,138.412
2004-06-01,108.56373,139.83
2004-07-01,108.718124,140.65
2004-08-01,110.10839,143.378
2004-09-01,110.5241,144.782
2004-10-01,111.30931,146.412
2004-11-01,112.090034,148.772
2004-12-01,112.93222,149.995
2005-01-01,111.81576,149.462
2005-02-01,110.88267,148.944
2005-03-01,110.37996,149.365
2005-04-01,111.97366,152.116
2005-05-01,113.266846,155.145
2005-06-01,115.646065,158.035
2005-07-01,113.83931,156.214
2005-08-01,115.26017,159.084
2005-09-01,113.87845,158.344
2005-10-01,113.28146,158.48
2005-11-01,114.4929,160.938
2005-12-01,116.06461,163.787
2006-01-01,116.40724,165.658
2006-02-01,115.96601,165.717
2006-03-01,113.214455,162.197
2006-04-01,110.38477,158.791
2006-05-01,110.542046,160.299
2006-06-01,109.04883,158.984
2006-07-01,110.08198,161.633
2006-08-01,111.03044,163.955
2006-09-01,111.115456,164.711
2006-10-01,111.67371,166.596
2006-11-01,110.973335,166.566
2006-12-01,108.56962,163.615
2007-01-01,105.79269,160.539
2007-02-01,107.43106,163.948
2007-03-01,105.315956,161.402
2007-04-01,104.44365,160.491
2007-05-01,102.45973,158.414
2007-06-01,100.12987,155.474
2007-07-01,102.8778,160.48
2007-08-01,104.20513,163.288
2007-09-01,103.34331,162.575
2007-10-01,104.00527,164.441
2007-11-01,105.51681,167.567
2007-12-01,107.26418,171.103
2008-01-01,107.04213,171.504
2008-02-01,106.70992,171.74
2008-03-01,107.05124,173.05
2008-04-01,104.64431,169.94
2008-05-01,102.24722,166.786
2008-06-01,100.869644,165.353
2008-07-01,103.55135,170.471
2008-08-01,105.607574,174.482
2008-09-01,104.31748,173.935
2008-10-01,103.38514,173.218
2008-11-01,109.07541,183.264
2008-12-01,115.62596,195.45
2009-01-01,107.38712,182.333
2009-02-01,108.914185,185.676
2009-03-01,112.17553,192.528
2009-04-01,109.454414,188.711
2009-05-01,107.603645,186.237
2009-06-01,108.33557,188.919
2009-07-01,106.431145,186.7
2009-08-01,111.05671,195.678
2009-09-01,110.7098,195.976
2009-10-01,109.842735,195.164
2009-11-01,109.951935,197.139
2009-12-01,105.0673,189.547
2010-01-01,105.71074,191.382
2010-02-01,104.3432,189.494
2010-03-01,104.91889,191.735
2010-04-01,105.368645,193.254
2010-05-01,108.12348,198.913
2010-06-01,109.74449,202.897
2010-07-01,108.86467,202.003
2010-08-01,114.80422,214.229
2010-09-01,113.3882,212.489
2010-10-01,110.607506,208.024
2010-11-01,108.95222,206.244
2010-12-01,108.02845,206.133
2011-01-01,104.890015,200.834
2011-02-01,105.65424,203.079
2011-03-01,105.69208,204.028
2011-04-01,107.87256000000001,208.909
2011-05-01,109.04963,212.092
2011-06-01,107.36329,209.695
2011-07-01,111.75285,218.904
2011-08-01,114.24216,225.124
2011-09-01,118.38382,233.739
2011-10-01,119.44297,237.224
2011-11-01,123.13585,245.279
2011-12-01,125.31602,250.346
2012-01-01,125.59588,251.089
2012-02-01,122.90273,246.439
2012-03-01,121.04845,243.491
2012-04-01,121.11549,245.386
2012-05-01,127.5558,259.041
2012-06-01,125.64863,255.913
