Date,Price,"Total Return (Gross, Unhedged)"
1990-01-01,1165.82995605469,725.320007324219
1990-02-01,1121.46997070312,700.580017089844
1990-03-01,1115.69995117188,701.400024414062
1990-04-01,1044.61999511719,660.010009765625
1990-05-01,1158.21997070312,735.140014648438
1990-06-01,1174.91003417969,748.52001953125
1990-07-01,1150.13000488281,736.700012207031
1990-08-01,1057.09997558594,679.77001953125
1990-09-01,968.719970703125,626.700012207031
1990-10-01,1001.34002685547,649.280029296875
1990-11-01,1043.52001953125,679.070007324219
1990-12-01,1043.66003417969,682.710021972656
1991-01-01,1050.36999511719,688.650024414062
1991-02-01,1163.0,764.929992675781
1991-03-01,1203.60998535156,794.890014648438
1991-04-01,1213.43994140625,807.690002441406
1991-05-01,1214.06994628906,810.719970703125
1991-06-01,1172.96997070312,786.150024414062
1991-07-01,1252.52001953125,845.27001953125
1991-08-01,1285.10998535156,869.719970703125
1991-09-01,1278.7900390625,870.460021972656
1991-10-01,1250.53002929688,852.5
1991-11-01,1178.57995605469,805.909973144531
1991-12-01,1201.60998535156,824.909973144531
1992-01-01,1243.06005859375,855.859985351562
1992-02-01,1244.75,860.02001953125
1992-03-01,1185.97998046875,824.280029296875
1992-04-01,1299.56005859375,908.989990234375
1992-05-01,1327.17004394531,929.900024414062
1992-06-01,1231.9599609375,867.789978027344
1992-07-01,1159.7900390625,820.47998046875
1992-08-01,1114.96997070312,792.22998046875
1992-09-01,1228.30004882812,877.059997558594
1992-10-01,1281.44995117188,917.340026855469
1992-11-01,1339.69995117188,962.25
1992-12-01,1388.59997558594,1000.0
1993-01-01,1382.53002929688,997.409973144531
1993-02-01,1414.19995117188,1021.36999511719
1993-03-01,1425.59997558594,1039.56005859375
1993-04-01,1402.59997558594,1025.98999023438
1993-05-01,1416.69995117188,1040.18005371094
1993-06-01,1446.59997558594,1064.63000488281
1993-07-01,1464.02001953125,1080.2099609375
1993-08-01,1551.80004882812,1149.73999023438
1993-09-01,1519.69995117188,1131.5400390625
1993-10-01,1580.90002441406,1179.97998046875
1993-11-01,1575.0,1178.43994140625
1993-12-01,1703.0,1277.21997070312
1994-01-01,1760.59997558594,1322.23999023438
1994-02-01,1684.80004882812,1268.42004394531
1994-03-01,1570.39001464844,1189.78002929688
1994-04-01,1588.31005859375,1207.32995605469
1994-05-01,1506.68005371094,1147.43994140625
1994-06-01,1471.81994628906,1126.22998046875
1994-07-01,1557.72998046875,1196.26000976562
1994-08-01,1640.68005371094,1264.19995117188
1994-09-01,1521.34997558594,1177.86999511719
1994-10-01,1551.08996582031,1204.2099609375
1994-11-01,1542.93994140625,1200.56005859375
1994-12-01,1537.25,1201.03002929688
1995-01-01,1495.42004394531,1169.89001464844
1995-02-01,1503.60998535156,1179.82995605469
1995-03-01,1558.36999511719,1233.59997558594
1995-04-01,1598.41003417969,1269.06994628906
1995-05-01,1650.55004882812,1315.26000976562
1995-06-01,1642.46997070312,1313.39001464844
1995-07-01,1723.51000976562,1381.09997558594
1995-08-01,1737.96997070312,1398.93994140625
1995-09-01,1753.28002929688,1418.67004394531
1995-10-01,1755.91003417969,1424.03002929688
1995-11-01,1814.80004882812,1475.58996582031
1995-12-01,1830.61999511719,1495.93994140625
1996-01-01,1868.0,1530.94995117188
1996-02-01,1864.11999511719,1531.44995117188
1996-03-01,1863.81005859375,1543.30004882812
1996-04-01,1931.72998046875,1606.59997558594
1996-05-01,1900.25,1585.2900390625
1996-06-01,1870.88000488281,1566.43005371094
1996-07-01,1856.13000488281,1560.14001464844
1996-08-01,1938.34997558594,1639.42004394531
1996-09-01,1969.80004882812,1671.81994628906
1996-10-01,1982.69995117188,1685.96997070312
1996-11-01,2014.19995117188,1716.52001953125
1996-12-01,2043.80004882812,1746.86999511719
1997-01-01,2115.5,1810.05004882812
1997-02-01,2134.0,1829.75
1997-03-01,2128.10009765625,1837.11999511719
1997-04-01,2168.69995117188,1880.2099609375
1997-05-01,2240.80004882812,1948.66003417969
1997-06-01,2228.0,1944.33996582031
1997-07-01,2352.0,2052.419921875
1997-08-01,2327.80004882812,2039.90002441406
1997-09-01,2516.30004882812,2210.44995117188
1997-10-01,2341.53002929688,2058.84008789062
1997-11-01,2338.76000976562,2059.30004882812
