Date,Price,"Total Return (Gross, Unhedged)"
1998-06-30,120.226746,100.0
1998-07-01,120.34759,100.101
1998-07-02,120.558136,100.276
1998-07-06,120.872734,100.537
1998-07-07,120.5926,100.304
1998-07-08,120.38227,100.129
1998-07-09,120.75328,100.616
1998-07-10,120.74632,100.61
1998-07-13,120.366234,100.428
1998-07-14,120.468155,100.518
1998-07-15,119.96426,100.098
1998-07-16,120.011856,100.138
1998-07-17,119.98883,100.118
1998-07-20,119.82098,99.978
1998-07-21,119.89278,100.038
1998-07-22,119.44323,99.768
1998-07-23,119.50993,99.824
1998-07-24,119.19266,99.559
1998-07-27,119.27861,99.648
1998-07-28,120.170074,100.393
1998-07-29,120.77489,100.898
1998-07-30,120.30379,100.642
1998-07-31,119.99215,101.012
1998-08-03,120.563896,101.493
1998-08-04,120.65582,101.571
1998-08-05,120.38509,101.343
1998-08-06,120.77063,101.667
1998-08-07,120.92093,101.794
1998-08-10,121.30294,102.115
1998-08-11,121.663826,102.419
1998-08-12,121.84608,102.572
1998-08-13,121.12297,101.964
1998-08-14,121.44056,102.231
1998-08-17,121.61279,102.376
1998-08-18,121.593575,102.36
1998-08-19,121.45109,102.24
1998-08-20,122.06614,102.758
1998-08-21,122.85704,103.424
1998-08-24,122.733345,103.319
1998-08-25,122.8361,103.59
1998-08-26,122.72446,103.496
1998-08-27,123.89705,104.485
1998-08-28,124.15389,104.701
1998-08-31,124.22,104.757
1998-09-01,123.44221,104.101
1998-09-02,123.352036,104.096
1998-09-03,123.89103,104.567
1998-09-04,123.88835,104.564
1998-09-08,123.842834,104.614
1998-09-09,124.43569,105.115
1998-09-10,125.841866,106.303
1998-09-11,125.66372,106.152
1998-09-14,125.497086,106.064
1998-09-15,126.011086,106.499
1998-09-16,126.24785,106.699
1998-09-17,127.43115,107.699
1998-09-18,127.32038,107.684
1998-09-21,128.22217,108.447
1998-09-22,127.8313,108.116
1998-09-23,127.20734,107.588
1998-09-24,127.042366,107.449
1998-09-25,127.78304,108.075
1998-09-28,128.55876,108.87
1998-09-29,128.2423,108.649
1998-09-30,128.875,109.078
1998-10-01,130.75037,110.665
1998-10-02,131.78983,111.545
1998-10-05,132.36919,112.035
1998-10-06,131.3554,111.177
1998-10-07,130.81784,110.722
1998-10-08,129.11253,109.279
1998-10-09,125.68964,106.382
1998-10-12,124.875206,105.827
1998-10-13,125.92151,106.859
1998-10-14,126.828804,107.629
1998-10-15,126.964066,107.744
1998-10-16,126.718056,107.535
1998-10-19,127.29362,108.117
1998-10-20,126.49437,107.439
1998-10-21,126.4898,107.435
1998-10-22,126.07233,107.08
1998-10-23,125.39815,106.508
1998-10-26,126.300995,107.274
1998-10-27,127.11615,107.967
1998-10-28,126.70213,107.615
1998-10-29,127.403755,108.211
1998-10-30,127.11105,107.962
1998-11-02,126.874626,107.762
1998-11-03,128.15686,108.851
1998-11-04,127.59162,108.371
1998-11-05,127.582275,108.363
1998-11-06,127.00459,107.872
1998-11-09,126.7,108.312
1998-11-10,127.46517,108.966
1998-11-11,127.04603,108.608
1998-11-12,127.7061,109.172
1998-11-13,128.11742,109.524
1998-11-16,128.14877,109.631
1998-11-17,128.63887,110.05
1998-11-18,129.40994,110.71
1998-11-19,129.36256,110.669
1998-11-20,128.85,110.231
1998-11-23,128.95865,110.324
1998-11-24,128.69678,110.1
1998-11-25,129.01462,110.459
1998-11-27,129.65817,111.139
1998-11-30,129.651,111.945
1998-12-01,130.25856,112.248
1998-12-02,130.19685,112.195
1998-12-03,130.2188,112.214
1998-12-04,130.10635,112.117
1998-12-07,129.29787,112.143
1998-12-08,129.795,112.574
1998-12-09,130.42111,113.117
1998-12-10,130.81207,113.456
1998-12-11,130.94052,113.567
1998-12-14,130.6766,113.338
1998-12-15,130.85654,113.494
1998-12-16,130.85468,113.493
1998-12-17,131.25116,113.837
1998-12-18,131.3037,113.882
1998-12-21,131.04254,113.656
1998-12-22,130.6426,113.309
1998-12-23,131.45929,114.017
1998-12-24,131.24765,113.834
1998-12-28,131.33458,113.909
1998-12-29,131.57793,114.12
1998-12-30,132.11305,114.584
1998-12-31,132.899,114.603
1999-01-04,133.50148,115.123
1999-01-05,133.25305,114.908
1999-01-06,133.12575,114.799
1999-01-07,133.48993,115.118
1999-01-08,133.64816,115.255
1999-01-11,133.00972,114.894
1999-01-12,132.08261,114.237
1999-01-13,132.9433,114.983
1999-01-14,133.21062,115.214
1999-01-15,133.0365,115.064
1999-01-19,133.1688,115.197
1999-01-20,133.45964,115.448
1999-01-21,134.18874,116.079
1999-01-22,134.60129,116.436
1999-01-25,134.11734,116.017
1999-01-26,134.41544,116.294
1999-01-27,134.35828,116.245
1999-01-28,134.29327,116.188
1999-01-29,134.57706,116.434
1999-02-01,134.33336,116.223
1999-02-02,134.11966,116.038
1999-02-03,133.73376,115.704
1999-02-04,132.95541,115.031
1999-02-05,133.25142,115.287
1999-02-08,132.4965,114.78
1999-02-09,132.92664,115.153
1999-02-10,132.82668,115.066
1999-02-11,132.78801,115.033
1999-02-12,131.50159,113.918
1999-02-16,131.51137,113.927
1999-02-17,131.53343,113.946
1999-02-18,131.67752,114.071
1999-02-19,131.79414,114.172
1999-02-22,132.10777,114.443
1999-02-23,132.49025,114.775
1999-02-24,132.20575,114.528
1999-02-25,130.73177,113.452
1999-02-26,130.40361,113.167
1999-03-01,129.51826,112.475
1999-03-02,129.64531,112.585
1999-03-03,128.81084,111.86
1999-03-04,128.63321,111.706
1999-03-05,129.81023,112.728
1999-03-08,129.62213,112.659
1999-03-09,128.67427,111.835
1999-03-10,129.32506,112.418
1999-03-11,129.75798,112.844
1999-03-12,129.94656,113.008
1999-03-15,130.02527,113.076
1999-03-16,130.70992,113.672
1999-03-17,131.36063,114.251
1999-03-18,131.37828,114.267
1999-03-19,131.02415,114.108
1999-03-22,130.85217,113.959
1999-03-23,130.64888,113.782
1999-03-24,130.50601,113.657
1999-03-25,130.5795,113.772
1999-03-26,130.13403,113.383
1999-03-29,130.11435,113.366
1999-03-30,130.44388,113.653
1999-03-31,131.03172,113.983
1999-04-01,130.43288,113.619
1999-04-05,130.51953,113.695
1999-04-06,131.54326,114.587
1999-04-07,131.6882,114.713
1999-04-08,131.62671,114.659
1999-04-09,131.9649,115.097
1999-04-12,131.86053,115.006
1999-04-13,131.61133,114.789
1999-04-14,131.59116,114.771
1999-04-15,130.68643,113.982
1999-04-16,130.44875,113.876
1999-04-19,130.62048,114.025
1999-04-20,131.22649,114.554
1999-04-21,131.26619,114.589
1999-04-22,130.71335,114.107
1999-04-23,130.71431,114.107
1999-04-26,130.29799,113.744
1999-04-27,130.1941,113.653
1999-04-28,129.70816,113.229
1999-04-29,130.41447,113.846
1999-04-30,129.99657,113.481
1999-05-03,130.0616,113.538
1999-05-04,128.87769,112.504
1999-05-05,128.77356,112.413
1999-05-06,128.33717,112.032
1999-05-07,128.21408,111.925
1999-05-10,128.37843,112.068
1999-05-11,128.41228,112.098
1999-05-12,128.88231,112.508
1999-05-13,129.47238,113.023
1999-05-14,128.03415,111.768
1999-05-17,127.84289,111.693
1999-05-18,127.50644,111.536
1999-05-19,127.36402,111.412
1999-05-20,127.97171,111.943
1999-05-21,128.01729,111.983
1999-05-24,128.34978,112.274
1999-05-25,128.54982,112.449
1999-05-26,128.43298,112.347
1999-05-27,125.88373,111.872
1999-05-28,125.58968,111.61
1999-06-01,124.68442,110.902
1999-06-02,124.60971,110.836
1999-06-03,124.79624,111.002
1999-06-04,124.72446,110.938
1999-06-07,125.24112,111.397
1999-06-08,124.937004,111.127
1999-06-09,124.68418,110.902
1999-06-10,123.59498,109.933
1999-06-11,123.68019,110.009
1999-06-14,123.96254,110.26
1999-06-15,125.03874,111.217
1999-06-16,125.21254,111.372
1999-06-17,125.8448,111.934
1999-06-18,125.89584,111.98
1999-06-21,125.10774,111.279
1999-06-22,124.41724,110.665
1999-06-23,124.10367,110.386
1999-06-24,122.83914,109.261
1999-06-25,124.10427,110.386
1999-06-28,124.423996,110.671
1999-06-29,124.51562,110.752
1999-06-30,125.17202,111.336
1999-07-01,124.59558,110.823
1999-07-02,125.04617,111.372
1999-07-06,123.9074,110.364
1999-07-07,123.730354,110.206
1999-07-08,122.876045,109.642
1999-07-09,123.1169,109.857
1999-07-12,123.87419,110.532
1999-07-13,124.35549,110.962
1999-07-14,124.35759,110.964
1999-07-15,123.57904,110.269
1999-07-16,124.04042,110.7
1999-07-19,124.163536,110.81
1999-07-20,124.23065,110.87
1999-07-21,124.37196,110.996
1999-07-22,124.30706,110.938
1999-07-23,123.632225,110.336
1999-07-26,123.55083,110.263
1999-07-27,123.74528,110.437
1999-07-28,123.76852,110.457
1999-07-29,122.81731,109.76
1999-07-30,123.13864,110.047
1999-08-02,124.05946,110.673
1999-08-03,123.89254,110.524
1999-08-04,124.698166,111.243
1999-08-05,124.288895,110.877
1999-08-06,123.14431,109.856
1999-08-09,123.62571,110.286
1999-08-10,123.22814,109.931
1999-08-11,123.083,109.802
1999-08-12,123.3129,110.007
1999-08-13,123.40534,110.089
1999-08-16,123.369156,110.057
1999-08-17,123.3867,110.285
1999-08-18,124.077126,110.902
1999-08-19,124.44296,111.229
1999-08-20,124.24064,111.049
1999-08-23,124.262665,111.068
1999-08-24,124.36466,111.159
1999-08-25,125.2371,111.939
1999-08-26,125.415955,112.099
1999-08-27,125.248604,111.95
1999-08-30,125.20072,112.007
1999-08-31,125.19702,112.054
1999-09-01,124.7001,111.609
1999-09-02,123.288,110.363
1999-09-03,124.22797,111.204
1999-09-07,123.483635,110.538
1999-09-08,122.50101,109.658
1999-09-09,122.32944,109.505
1999-09-10,121.73931,108.976
1999-09-13,121.32441,108.605
1999-09-14,121.51686,108.777
1999-09-15,121.34974,108.628
1999-09-16,121.92926,109.146
1999-09-17,122.46472,109.797
1999-09-20,122.09553,109.466
1999-09-21,121.69815,109.11
1999-09-22,121.20555,108.668
1999-09-23,121.2776,108.732
1999-09-24,121.93849,109.325
1999-09-27,121.174385,108.693
1999-09-28,120.8953,108.442
1999-09-29,120.67469,108.244
1999-09-30,121.10741,108.956
1999-10-01,120.12751,108.075
1999-10-04,120.89791,108.768
1999-10-05,120.63203,108.689
1999-10-06,120.61173,108.671
1999-10-07,120.95279,108.978
1999-10-08,120.722404,108.916
1999-10-11,120.81079,108.996
1999-10-12,120.14712,108.397
1999-10-13,120.53989,108.752
1999-10-14,119.2898,107.624
1999-10-15,119.97795,108.245
1999-10-18,120.31876,108.552
1999-10-19,120.55683,108.767
1999-10-20,120.25145,108.491
1999-10-21,120.90379,109.08
1999-10-22,120.80098,108.987
1999-10-25,119.978676,108.245
1999-10-26,120.6268,108.83
1999-10-27,121.672844,109.774
1999-10-28,122.804344,110.795
1999-10-29,123.88389,111.769
1999-11-01,124.09656,111.96
1999-11-02,125.22251,112.976
1999-11-03,125.29678,113.043
1999-11-04,127.05011,114.625
1999-11-05,127.34015,114.887
1999-11-08,127.01288,114.592
1999-11-09,126.543045,114.168
1999-11-10,126.34133,113.986
1999-11-11,126.46431,114.097
1999-11-12,127.60436,115.125
1999-11-15,127.57745,115.101
1999-11-16,128.32199,115.773
1999-11-17,127.45188,115.082
1999-11-18,126.75124,114.589
1999-11-19,126.4971,114.359
1999-11-22,125.91754,113.835
1999-11-23,126.05767,113.962
1999-11-24,125.509995,113.467
1999-11-26,125.22415,113.208
1999-11-29,123.42491,113.482
1999-11-30,124.88561,113.832
1999-12-01,124.90363,113.849
1999-12-02,124.1591,113.17
1999-12-03,123.311554,112.398
1999-12-06,123.68466,112.738
1999-12-07,124.65862,113.625
1999-12-08,124.673225,113.639
1999-12-09,125.47444,114.369
1999-12-10,126.287384,115.11
1999-12-13,126.2772,115.101
1999-12-14,125.77103,114.639
1999-12-15,126.066696,114.909
1999-12-16,124.53143,113.509
1999-12-17,124.370674,113.363
1999-12-20,124.33236,113.328
1999-12-21,124.29935,113.298
1999-12-22,123.50705,112.576
1999-12-23,123.548904,112.614
1999-12-27,123.57624,112.639
1999-12-28,123.597534,112.658
1999-12-29,123.60443,112.665
1999-12-30,123.04847,112.158
1999-12-31,123.06983,112.177
2000-01-03,121.70097,112.235
2000-01-04,120.36106,111.033
2000-01-05,119.783585,110.526
2000-01-06,119.83002,110.587
2000-01-07,120.40463,111.13
2000-01-10,121.142815,111.861
2000-01-11,120.55865,111.347
2000-01-12,119.67303,110.561
2000-01-13,120.43377,111.274
2000-01-14,120.03729,110.932
2000-01-18,118.67147,109.765
2000-01-19,119.04667,110.127
2000-01-20,118.55424,109.698
2000-01-21,118.66699,109.821
2000-01-24,118.83923,110.036
2000-01-25,119.65254,110.796
2000-01-26,119.56833,110.739
2000-01-27,118.59046,109.868
2000-01-28,118.3907,109.705
2000-01-31,119.44034,110.72
2000-02-01,120.640884,111.839
2000-02-02,120.4404,111.675
2000-02-03,121.14916,112.344
2000-02-04,120.38214,111.661
2000-02-07,120.29354,111.638
2000-02-08,120.633545,111.969
2000-02-09,120.13909,111.536
2000-02-10,119.71586,111.168
2000-02-11,119.83261,111.294
2000-02-14,120.34802,111.825
2000-02-15,120.35984,111.855
2000-02-16,119.458145,111.049
2000-02-17,119.87719,111.452
2000-02-18,120.449684,111.996
2000-02-22,122.0138,113.507
2000-02-23,121.737976,113.274
2000-02-24,122.59675,114.08
2000-02-25,122.64933,114.148
2000-02-28,122.51491,114.084
2000-02-29,121.45157,113.215
2000-03-01,121.78139,113.538
2000-03-02,121.72499,113.506
2000-03-03,122.449875,114.192
2000-03-06,122.98796,114.745
2000-03-07,123.23051,114.988
2000-03-08,122.94444,114.744
2000-03-09,123.11294,114.919
2000-03-10,122.50366,114.378
2000-03-13,122.601845,114.527
2000-03-14,122.52054,114.472
2000-03-15,122.87089,114.814
2000-03-16,123.80958,115.696
2000-03-17,124.19465,116.07
2000-03-20,123.85065,115.812
2000-03-21,123.560486,115.565
2000-03-22,122.684875,114.78
2000-03-23,123.07055,115.154
2000-03-24,122.97076,115.082
2000-03-27,121.80339,114.067
2000-03-28,122.13289,114.39
2000-03-29,121.99445,114.282
2000-03-30,122.505806,114.772
2000-03-31,122.46528,114.754
2000-04-03,122.95585,115.265
2000-04-04,122.77558,115.118
2000-04-05,123.6187,115.915
2000-04-06,122.75847,115.142
2000-04-07,123.32376,115.682
2000-04-10,122.98772,115.432
2000-04-11,123.15732,115.608
2000-04-12,122.802574,115.3
2000-04-13,122.14731,114.716
2000-04-14,122.07169,114.666
2000-04-17,121.92816,114.593
2000-04-18,122.07002,114.743
2000-04-19,121.995865,114.695
2000-04-20,121.94339,114.666
2000-04-24,121.94339,114.744
2000-04-25,121.58536,114.434
2000-04-26,122.07103,114.901
2000-04-27,122.515785,115.331
2000-04-28,123.22556,116.004
2000-05-01,123.49845,116.063
2000-05-02,123.248375,115.852
2000-05-03,123.00779,115.65
2000-05-04,121.87429,114.625
2000-05-05,121.62222,114.412
2000-05-08,122.07558,114.888
2000-05-09,122.60658,115.397
2000-05-10,122.69348,115.496
2000-05-11,121.70674,114.606
2000-05-12,121.615906,114.542
2000-05-15,122.116776,115.062
2000-05-16,122.439545,115.379
2000-05-17,121.315186,114.362
2000-05-18,120.848404,113.952
2000-05-19,120.75441,113.884
2000-05-22,121.4717,114.604
2000-05-23,121.164536,114.34
2000-05-24,121.47048,114.642
2000-05-25,122.117615,115.257
2000-05-26,122.9042,116.002
2000-05-30,122.835014,116.016
2000-05-31,123.06638,116.644
2000-06-01,123.28767,116.873
2000-06-02,123.90021,117.47
2000-06-05,123.42458,117.08
2000-06-06,123.33872,117.019
2000-06-07,123.41734,117.113
2000-06-08,123.03435,116.772
2000-06-09,123.45601,117.189
2000-06-12,123.446945,117.24
2000-06-13,123.30914,117.129
2000-06-14,123.04325,116.898
2000-06-15,122.612,116.512
2000-06-16,123.40939,117.283
2000-06-19,123.20773,117.152
2000-06-20,122.74679,116.737
2000-06-21,121.8005,115.865
2000-06-22,122.11104,116.177
2000-06-23,121.71078,115.82
2000-06-26,122.1234,116.268
2000-06-27,122.01607,116.186
2000-06-28,122.19647,116.376
2000-06-29,122.70537,116.876
2000-06-30,122.14105,116.822
2000-07-03,121.94759,116.698
2000-07-05,122.53274,117.291
2000-07-06,122.05472,116.858
2000-07-07,122.5972,117.391
2000-07-10,122.06382,116.945
2000-07-11,122.281624,117.171
2000-07-12,122.228,117.14
2000-07-13,122.070404,117.011
2000-07-14,121.53621,116.525
2000-07-17,121.359825,116.417
2000-07-18,121.52381,116.592
2000-07-19,121.932304,116.998
2000-07-20,122.240654,117.31
2000-07-21,122.600746,117.67
