Date,gdp_GDP,polarity_score_finbert
1989-12-01,0.5,
1990-01-01,0.5,
1990-02-01,0.5,
1990-03-01,0.7,
1990-04-01,0.7,
1990-05-01,0.7,
1990-06-01,-1.1,
1990-07-01,-1.1,
1990-08-01,-1.1,
1990-09-01,-0.5,
1990-10-01,-0.5,
1990-11-01,-0.5,
1990-12-01,-0.5,
1991-01-01,-0.5,
1991-02-01,-0.5,
1991-03-01,-0.1,
1991-04-01,-0.1,
1991-05-01,-0.1,
1991-06-01,-0.2,
1991-07-01,-0.2,
1991-08-01,-0.2,
1991-09-01,0.1,
1991-10-01,0.1,
1991-11-01,0.1,
1991-12-01,0.0,
1992-01-01,0.0,
1992-02-01,0.0,
1992-03-01,-0.2,
1992-04-01,-0.2,
1992-05-01,-0.2,
1992-06-01,0.5,
1992-07-01,0.5,
1992-08-01,0.5,
1992-09-01,0.8,
1992-10-01,0.8,
1992-11-01,0.8,
1992-12-01,0.5,
1993-01-01,0.5,
1993-02-01,0.5,
1993-03-01,0.4,
1993-04-01,0.4,
1993-05-01,0.4,
1993-06-01,0.9,
1993-07-01,0.9,
1993-08-01,0.9,
1993-09-01,0.7,
1993-10-01,0.7,
1993-11-01,0.7,
1993-12-01,1.0,
1994-01-01,1.0,
1994-02-01,1.0,
1994-03-01,0.9,
1994-04-01,0.9,
1994-05-01,0.9,
1994-06-01,1.0,
1994-07-01,1.0,
1994-08-01,1.0,
1994-09-01,0.4,
1994-10-01,0.4,
1994-11-01,0.4,
1994-12-01,0.5,
1995-01-01,0.5,
1995-02-01,0.5,
1995-03-01,0.2,
1995-04-01,0.2,
1995-05-01,0.2,
1995-06-01,1.1,
1995-07-01,1.1,
1995-08-01,1.1,
1995-09-01,0.3,
1995-10-01,0.3,
1995-11-01,0.3,
1995-12-01,0.7,
1996-01-01,0.7,
1996-02-01,0.7,
1996-03-01,0.3,
1996-04-01,0.3,
1996-05-01,0.3,
1996-06-01,0.9,
1996-07-01,0.9,
1996-08-01,0.9,
1996-09-01,1.4,
1996-10-01,1.4,
1996-11-01,1.4,
